size,time,time_sq
300,0.01,0.016408167000000002
350,0.01,0.017749995375000001
400,0.02,0.019999984000000006
450,0.02,0.02364792862500001
500,0.03,0.029183624999999991
600,0.05,0.047877456000000013
700,0.08,0.079999843000000002
800,0.14,0.12946915200000004
900,0.19,0.20020374900000005
1000,0.29,0.296122
1100,0.41,0.42114227100000002
1200,0.57,0.57918292800000005
1400,1.01,1.0099988640000002
1500,1.29,1.2906108750000003
1600,1.66,1.6199167360000002
1800,2.48,2.4402834720000004
1900,2.91,2.939181079000001
2000,3.46,3.502446
2200,4.69,4.8377512480000001
2400,6.18,6.477546144000001
2600,7.91,8.453177616000002
2800,9.96,10.795992592000002
3000,12.29,13.537338000000002
3200,14.84,16.708560768000002
3600,21.26,24.466026096000004
3800,25.11,29.114962512000006
4000,29.72,34.319164000000001
4200,34.06,40.109977488000006
4500,41.86,49.96466662500001
