size,time 1,time 2,time 4,time 8,time 10,time 12,time 14
900,0.82,0.61,0.56,0.55,0.53,0.53,0.54
1000,1.04,0.78,0.72,0.7,0.68,0.69,0.69
1100,1.29,0.97,0.89,0.87,0.85,0.85,0.86
1200,1.56,1.17,1.07,1.05,1.03,1.03,1.04
1300,1.85,1.39,1.28,1.25,1.22,1.23,1.24
1400,2.17,1.63,1.5,1.47,1.44,1.44,1.46
1500,2.5,1.88,1.73,1.69,1.66,1.66,1.68
1800,3.74,2.82,2.59,2.53,2.48,2.49,2.51
2300,7.87,5.91,5.43,5.31,5.21,5.23,5.28
2500,9.39,7.06,6.48,6.34,6.22,6.24,6.31
3000,13.98,10.52,9.66,9.45,9.26,9.3,9.41
3200,18.83,14.17,13.01,12.73,12.48,12.53,12.67
3600,24.44,18.4,16.89,16.53,16.21,16.27,16.45
3800,27.28,20.54,18.88,18.47,18.12,18.17,18.38
4200,39.73,29.88,27.4,26.84,26.29,26.4,26.69
4500,46.22,34.74,31.89,31.24,30.61,30.75,31.08
