size,threads,time,speedup
900,1,173.67,1
900,2,93.96,1.84833971902937
900,3,68.02,2.55321964128198
900,4,54.73,3.17321395943724
900,5,44,3.94704545454545
900,6,36.8,4.71929347826087
900,7,31.46,5.52034329307057
900,8,27.63,6.28555917480999
900,9,24.71,7.02832861189802
900,10,22.28,7.79488330341113
900,15,15.04,11.5472074468085
900,20,11.37,15.2744063324538
900,25,10.11,17.1780415430267
900,30,8.9,19.5134831460674
900,40,6.28,27.6544585987261
900,50,5.48,31.691605839416
900,60,4.6,37.754347826087
900,80,3.09,56.2038834951456
900,100,2.9,59.8862068965517
900,150,2.11,82.3080568720379
900,200,1.52,114.256578947368
900,250,1.33,130.578947368421
900,300,1.28,135.6796875
900,400,0.96,180.90625
900,450,1.01,171.950495049505
900,500,0.79,219.835443037975
900,600,0.81,214.407407407407
900,650,0.82,211.792682926829
900,700,0.83,209.240963855422
900,750,0.85,204.317647058824
900,800,0.81,214.407407407407
900,850,0.84,206.75
900,900,0.82,211.792682926829
900,950,0.62,280.112903225806
900,1000,0.62,280.112903225806
900,1024,0.62,280.112903225806
